Posting period / Country final-dest.;Mexico;Argentina;Chile;Other Conosur (Bol/Per/Uru);Brazil;Colombia;Ecuador;Peru;Venezuela,Bol.R;Caribe
01.01.2015;13054,86122;6387,879429;1175,000028;1006,48606;4938,999993;4874,249215;2906,999999;1437,999979;2397,999999;7847,000112
01.02.2015;14653,24578;7665,894889;1106,758264;1125,73367;9493,999981;6302,572298;2470,999999;1552,000016;3058,999994;8890,000061
01.03.2015;17711,86063;11092,40041;1343,099707;1553,252033;13966,00001;5235,863566;2413,999992;2147,528587;2793,999993;10857,49506
01.04.2015;14714,16599;10967,02627;1824,999989;1356,402942;9401,999987;5585,366677;2622;1334,04362;-7490,000002;8892,999932
01.05.2015;16485,7962;10406,69898;1913,999986;1143,423202;14231,99998;6083,215209;744,9999912;1355,746533;250,000008;8910,495095
01.06.2015;18859,00826;9764,285462;1889,999994;1429,229669;13996,99999;6138,145039;2518,00001;1672,105951;337,000005;10489,00007
01.07.2015;15644,99312;10906,08231;1822,000019;1299,659441;10777,99999;5478,360914;2335,000011;1517,527573;456,5820135;7501,999948
01.08.2015;19374,78346;10052,84017;1678,999999;1178,522163;9807,999997;5168,766062;2748,999977;1533,000011;562,9500141;9621,546773
01.09.2015;21783,85693;10948,43326;1617,999982;1115,97115;11318,99999;4896,168483;3504,000004;1559,681327;792,3730134;9131,495002
01.10.2015;21034,69018;9945,071972;1694,000014;1056,191316;10575,00001;5916,293346;2882,000017;1529,345929;1510,000001;9060,999842
01.11.2015;23139,60337;11157,18499;1370,999964;1078,15751;10021,00001;7866,814761;2735,999993;1581,675252;1715,999984;10296,49495
01.12.2015;14373,82673;7923,898882;1316,999993;1019,82059;12127,00001;4638,669085;3088,999993;915,2960891;1428,000006;9032,063973
01.01.2016;12526,1956;7448,059619;1565,999985;932,4091137;4036,006503;3865,722409;2352,00001;1068,013221;117,0000008;9501,00007
01.02.2016;16614,39538;7619,035467;1406,999987;951,3808639;7402,006221;4905,509641;2946,99999;1877,069951;101,9999917;9486,495019
01.03.2016;15920,62003;8670,266781;1351,000006;1000,000017;12591,49802;4762,413813;2783,000002;1977,42619;106,9999983;9498,000142
01.04.2016;14739,25457;9170,668529;1347,999991;1123,999988;8095,000015;4453,104229;2777,999988;1081,417793;105,9999951;8339,000043
01.05.2016;15683,54679;9988,807917;1438,000014;1145,000035;7446,999982;5557,542911;3004,000007;1617,530984;171,0000127;9580,000077
01.06.2016;14768,34202;9744,863756;1283,999998;1129,999997;11528,95791;5989,835269;2711,999997;1897,099139;90,99999452;9680,495211
01.07.2016;14538,78675;9467,915173;1303,999994;1274,000007;7240,60001;5285,164281;2666,000005;1452,481794;57,79100198;9642,000188
01.08.2016;15709,72155;10371,34064;1398,000006;1197,000013;11329;4637,991688;2631,999996;1470,000012;123,0000027;9147,000125
01.09.2016;24594,00815;10462,94562;1320,919996;1211,999972;8448,000019;6143,30801;3197,999992;1786,000013;131,0000073;9510,49502
01.10.2016;20265,17583;10414,76054;1284,000011;1142,160308;10634,78863;6589,506951;2309,999999;1617,000015;411,9999894;8690,999926
01.11.2016;18915,26979;9865,325509;1287,831075;1150,000013;9558,918475;8193,543155;3479,999986;1801,999991;263,0000054;10255,43493
01.12.2016;13114,60872;8934,531984;1355;1138,000005;14698;6905,241616;4250,000007;1100,999997;426,0000159;10876,99996
01.01.2017;10422,98815;8298,933496;1357,000004;1162,000001;1864,436656;914,0322167;1283,998019;695,999984;22,9994635;8792,999914
01.02.2017;11636,67096;10536,92448;1247,000004;1232,000029;3685,473301;2998,2312;1861,999986;1899,000197;71,0000033;9373,000335
01.03.2017;18322,69828;12139,77507;1177,000002;1363,000046;2665,99978;5336,208531;4193,999941;2613,000011;141,9999982;9579,000035
01.04.2017;14650,88001;13270,77026;1128,999998;1275,00002;9879,999596;3536,133064;2311,000017;1586,000009;98,00000663;8179,000018
01.05.2017;16068,83883;12972,10245;1279,999988;1375,999993;11854,9998;4811,163539;3333,99989;723,0000051;79,0000024;8905,999965
01.06.2017;17394,74988;12439,98387;1360,999992;1520,999976;10067,99978;3878,47686;3360,000011;1403,999997;115,0000099;8687,000052
01.07.2017;10150,40837;10914,39883;1360,00001;1410,99998;7057,999881;3694,90206;2347,999971;654,0000017;46,99999138;7903,000109
01.08.2017;18954,76374;11381,91174;1324,000002;1256,999984;9563,999925;3500,870432;2782,99992;1592,999987;27,99999809;8371,000044
01.09.2017;20732,32952;11518,85006;1295,000004;1205,999984;10257,00074;4448,400382;3097,999999;2753,999997;-9,000009743;8172,000008
01.10.2017;18565,56858;10422,11538;1397,000015;1213,000027;12449,99996;5109,921615;1999,000003;836,0000026;76,00000203;10376,99992
01.11.2017;15337,12297;9915,23156;1400,999988;1156,000011;10553,99996;5824,075668;3327,000007;3534,937167;26,99996699;10322
01.12.2017;11192,06875;8666,952511;1472,999992;1095,999978;9746,999923;4781,809346;4763,000685;1243,062137;500,9999705;9759,746962